run_id,model,segment,curve,alpha,epsilon_smooth,epsilon_bound,kappa,n_triples,satisfied,violation_ratio
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.4,5277,5132,0.02747773356073524
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.5,5277,5156,0.022929694902406705
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.6,5277,5170,0.02027667235171504
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.7,5277,5183,0.017813151411786965
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.8,5277,5196,0.015349630471859
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,0.9,5277,5204,0.013833617585749525
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.0,5277,5209,0.012886109531931034
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.1,5277,5214,0.011938601478112543
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.2,5277,5221,0.010612090202766766
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.3,5277,5227,0.009475080538184577
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.4,5277,5234,0.00814856926283869
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.5,5277,5237,0.007580064430547706
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.6,5277,5239,0.00720106120902031
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.7,5277,5239,0.00720106120902031
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.8,5277,5239,0.00720106120902031
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,1.9,5277,5241,0.006822057987492913
20251217_184957,autumn,HMB_3,Upsampled,0.5,0.01,0.02,2.0,5277,5243,0.006443054765965517
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.0,1972,1188,0.39756592292089254
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.1,1972,1244,0.36916835699797157
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.2,1972,1307,0.3372210953346856
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.3,1972,1360,0.31034482758620685
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.4,1972,1393,0.29361054766734285
20251217_184957,autumn,HMB_4,Mixed-stream,0.5,0.01,0.02,0.5,1972,1438,0.27079107505071
